,fluxes,reduced_costs
PHYTES2_1,0.004827827191278247,-8.673617379884035e-17
3HAD80,5.6597245497773825e-06,0.0
LTHRK,1.10621888927467e-06,-3.697264716606696e-11
ADCPS2,1.10621888927467e-06,-2.1271708415758177e-11
GF6PTA,0.0675410255161735,-2.326786689468932e-17
O2tpp,3.802087622107467,0.0
PGMT,-0.11145035910440435,-0.0
3OAR140,0.0,-0.0
NDPK2,0.0741881509600497,0.0
LPADSS2,0.0,0.0
DPR,0.0007133936928964996,1.5691207715082666e-16
H2Otex,-13.932967310100116,-0.0
TKT2,-0.0430156656232629,-6.808527055035362e-17
SK_for_c,0.0,-0.02470686259861352
PPNCL2,0.0,3.1068030617010406e-16
CYTBD4cm,0.0,4.2971005887756465e-16
HPYRRy,0.0,7.768812826012119e-16
CHORS,0.04006707123754837,-1.7973938715622457e-18
3OAR160,0.0,0.0
ADMDC,1.8934351221073426e-05,-1.1102230246251565e-16
PPPGO2_1,0.0026715168881179473,1.8735013540549517e-16
ASP1DC,0.0007133936928964861,-1.3877787807814457e-17
MI3PP,0.0,-0.2324275222239952
FTHFD,0.0,-0.023791793613479467
MEPCT,0.062243070029703564,7.979727989493313e-17
PDX5POi,5.6597245497773825e-06,1.3756380278820634e-17
PPCDC,0.0007133936928964914,-1.1102230246251565e-16
NTD6,0.0,5.3713757359695575e-17
NNDMBRT,1.1062188892746702e-06,-5.172640094031067e-12
PRAIS,0.02557923992164603,-5.730854510282007e-17
ORNTAC,0.0,1.5051926602369283e-16
SUCBZS,0.0,0.0
HGYDAS,1.1062188892746696e-06,-3.0696893069556084e-11
GGDPR,4.347697495056262e-06,0.0
ASPCT,0.006268984333796086,-2.1670872629229735e-17
PPNDH,0.01896682953083612,0.0
ME2,-3.1558739422110715,6.657215628204973e-16
APRAUR,1.047049041708828e-05,-2.220446049250313e-16
SADT,0.022391408251209895,-5.551115123125783e-17
LDH_D,0.0,1.0450977057741253e-16
DPCOAK,0.0007133936928964914,0.0
O2tex,3.802087622107467,0.0
DPOR,0.0,-0.023791793613481722
ARGSL,0.0,-1.3877787807814457e-17
HSK,2.9702055482868914,-5.551115123125783e-17
EAR120y,0.0,-4.4778474993684585e-16
BCAROHX2,0.0,-3.3306690738754696e-16
HPPK,0.0,8.07500069583524e-17
PPNCL3,0.0,2.7252231637922046e-16
AHCi,0.009011716468975311,0.0
G6PDH2r,0.0,-0.019826494677899664
PMANM,0.0,-0.0
CPPPGO2,0.0,-0.7399857859782348
PC17M_1,0.0,-4.0099911108893064e-11
ACCOAC,7.738350217133257e-05,-5.730854510282007e-17
CYOOum,0.0,-0.0010980827821606097
ACLSb,0.0,-1.3877787807814457e-17
METS_1,0.022749418972784534,-1.1102230246251565e-16
TRPS2,0.0,-0.01189589680674042
PRUK,0.0,0.0
GART,0.025579239921646027,-1.7973938715622457e-18
G5SADs,0.027473260179567922,0.0
DMTPHT,4.347697495056262e-06,-1.1102230246251565e-16
SPMDabcpp,0.0,-5.730854510282007e-17
DHAD2,0.027670657652973437,0.0
PRAMPC,0.010345028061499098,0.0
3OAS80,5.6597245497773825e-06,5.551115123125783e-17
BIOMASS_CELL_WALL,0.017186711295160497,0.0
UHGADA2,0.0,0.0
ASPO6,0.0,9.473917051896449e-17
ASPK,3.0360447197995817,-5.551115123125783e-17
DXPS,0.06225420939665836,-2.7755575615628914e-17
PRATPP,0.010345028061499097,-8.673617379884035e-17
NH4tpp,4.999999999999995,3.469446951953614e-18
PAPSR,0.02239140825120989,-1.4051260155412137e-16
NAD_H2,0.0,0.0
CYRDAAT,1.10621888927467e-06,-1.6653345369377348e-16
NTPP8,0.0,-0.011895896806740355
PC11M,1.1062188892746694e-06,1.0213274670434203e-11
ARGabcpp,0.0,-1.7973938715622457e-18
PMDPHT,1.0470490417088278e-05,-1.9535553281671565e-17
