,ids,growth,status
126,{'FORAMD'},0.709771209395109,optimal
127,{'PRAGSr'},-3.5505672832126014e-13,optimal
128,{'HKNDDH'},0.7097712093951958,optimal
129,{'GLYCtex'},0.7097712093951549,optimal
130,{'RNDR1'},0.7097712093951549,optimal
131,{'ARGTRS'},0.7097712093951549,optimal
132,{'DKMPPD3'},0.709769443731134,optimal
133,{'APRAUR'},-1.7430851053108562e-10,optimal
134,{'QUINDHyi'},0.7097712093951707,optimal
135,{'PPDK'},0.7097712093953208,optimal
136,{'G3PGabcpp'},0.7097712093953208,optimal
137,{'GGCLUT2'},0.7097712093953208,optimal
138,{'GLUDGE_OLE_HDE'},0.7097712093953208,optimal
139,{'O2tu'},0.6414944874308929,optimal
140,{'PYAM5PO'},0.7097712093951475,optimal
141,{'ARGabcpp'},0.7097712093953208,optimal
142,{'EX_ptrc_e'},0.7097712093953208,optimal
143,{'AMALT3'},0.7097712093953208,optimal
144,{'BIOMASS_DNA'},2.317424871374358e-15,optimal
145,{'LPOR'},0.7097712093951133,optimal
146,{'MLTG1'},0.7097712093950925,optimal
147,{'APG3PAT180'},0.7097712093950925,optimal
148,{'GLUDGS_OLE_HDE'},0.7097712093950925,optimal
149,{'ARD'},0.7097712093950925,optimal
150,{'FCLT'},1.0805439191031888e-14,optimal
151,{'UACMAMO'},0.7097712093951248,optimal
152,{'EX_no2_e'},0.7097712093951609,optimal
153,{'ALCD2x'},0.7097712093951609,optimal
154,{'PROabcpp'},0.7097712093951609,optimal
155,{'12PPDStex'},0.7097712093951609,optimal
156,{'UPP3S'},-3.128272440132639e-13,optimal
157,{'GLCDpp'},0.7097712093952364,optimal
158,{'LDH_D2'},0.7097712093952722,optimal
159,{'PLIPA2E140pp'},0.7097712093952722,optimal
160,{'RNTR2'},0.7097712093952722,optimal
161,{'CBFC2pp'},0.7097712093952722,optimal
162,{'GALUi'},-3.654782071068947e-15,optimal
163,{'PDX5PS'},0.709771209395243,optimal
164,{'GMHEPAT'},0.709771209395186,optimal
165,{'FDH5pp'},0.709771209395186,optimal
166,{'PE140abcpp'},0.709771209395186,optimal
167,{'FE2t2pp'},0.709771209395186,optimal
168,{'RNTR1'},0.709771209395186,optimal
169,{'PPCSCT'},0.709771209395186,optimal
170,{'EX_glucan4_e'},0.709771209395186,optimal
171,{'QUIN2tpp'},0.709771209395186,optimal
172,{'RNDR3b'},0.709771209395186,optimal
173,{'MLDEP1pp'},0.7097712093950853,optimal
174,{'PPC'},0.7097712093950853,optimal
175,{'FORt'},0.7097712093950853,optimal
176,{'EX_cell4_e'},0.7097712093950853,optimal
177,{'CURR'},0.7097712093950853,optimal
178,{'UGMDDS'},-1.8427959210399544e-15,optimal
179,{'FADRx'},0.7097712093950871,optimal
180,{'FCOAHA'},0.7097712093951755,optimal
181,{'TRPAS2'},0.7096941276114361,optimal
182,{'SSALx'},0.7097712093951831,optimal
183,{'LPLIPAL2ATG180'},0.7097712093951755,optimal
184,{'SPODM'},0.01676770075262204,optimal
185,{'LSERDHr'},0.7097712093953384,optimal
186,{'NTRIRfx'},0.7097712093951718,optimal
187,{'RNDR1b'},0.7097712093951588,optimal
188,{'TMPPP_1'},0.0,optimal
189,{'G3PCT'},0.7097712093950859,optimal
190,{'NTPP3'},0.7097712093950658,optimal
191,{'R5PP'},0.7097712093950658,optimal
192,{'CDGUNPD'},0.7097712093950658,optimal
193,{'INOSTt4pp'},0.7097712093950658,optimal
194,{'MOGDS'},0.7097712093950658,optimal
195,{'NPHS'},0.7097712093950658,optimal
196,{'GMHEPPA'},0.7097712093950658,optimal
197,{'H2CO3D'},0.7097712093950658,optimal
198,{'ALLabcpp'},0.7097712093950658,optimal
199,{'NTRARf2'},0.7097712093950658,optimal
200,{'HISTDa'},0.7097712093950658,optimal
201,{'DHAPT'},0.7097712093950658,optimal
202,{'BZt1pp'},0.7097712093950658,optimal
203,{'PEPC'},0.7097712093950658,optimal
204,{'RNTR3'},0.7097712093950658,optimal
205,{'APG3PAT161'},0.7097712093950658,optimal
206,{'EAR60x'},0.7097712093950677,optimal
207,{'LEUabcpp'},0.7097712093951382,optimal
208,{'GALtex'},0.7097712093951382,optimal
209,{'LIPOS'},0.7097712093951382,optimal
210,{'UAAGDS'},0.0,optimal
211,{'OANTIabcpp'},0.7097712093950554,optimal
212,{'EAR121y'},0.7097712093954384,optimal
213,{'MOTS3'},0.7097712093954384,optimal
214,{'PGSA161'},0.7097712093954384,optimal
215,{'PCADYOX2'},0.7097712093954384,optimal
216,{'R5PPpp'},0.7097712093954384,optimal
217,{'ACPPAT140'},0.7097712093954384,optimal
218,{'NTP3'},0.7097712093954384,optimal
219,{'CA2t2pp'},0.7097712093954384,optimal
220,{'AGPATACP_OLE_HDE'},0.7097712093954384,optimal
221,{'MOADSUx'},0.7097712093954384,optimal
222,{'PLIPA2A161pp'},0.7097712093954384,optimal
223,{'EX_lac__L_e'},0.7097712093954384,optimal
224,{'CLt3_1pp'},0.7097712093954384,optimal
225,{'THDPS'},0.7097712093954384,optimal
226,{'PPNCL3'},0.7097712093954384,optimal
227,{'PG180abcpp'},0.7097712093954384,optimal
228,{'ALDD6'},0.7097712093954384,optimal
229,{'SQLC'},0.7097712093954384,optimal
230,{'CACOAHA'},0.7097712093954384,optimal
231,{'IMACTD'},0.7097712093954384,optimal
232,{'BCAROHX2'},0.7097712093954384,optimal
233,{'DHFS'},8.927639059344503e-15,optimal
234,{'BCOALIG2'},0.7097712093951384,optimal
235,{'FACOAE161'},0.709771209395045,optimal
236,{'IMPC'},-7.885052083575907e-13,optimal
237,{'MME'},0.7097712093952075,optimal
238,{'DMPPS'},0.7097712093951141,optimal
239,{'UDCPDPS'},0.7097712093951307,optimal
240,{'Kt3r'},0.7097712093951388,optimal
241,{'Zn2tex'},0.0,optimal
242,{'HIStex'},0.7097712093954164,optimal
243,{'SO4tex'},0.7097712093951518,optimal
244,{'C160SN'},0.7097712093951352,optimal
245,{'HISTDb'},0.7097712093951352,optimal
246,{'PAPSR'},0.7097712093951352,optimal
247,{'LYSAM'},0.7097712093951352,optimal
248,{'FACOAL141t2pp'},0.7097712093951352,optimal
249,{'IORb'},0.7097712093951352,optimal
250,{'C140SN'},0.7097712093951352,optimal
251,{'EX_glucan6_e'},0.7097712093951352,optimal
252,{'PSIICSum'},0.01676770075262332,optimal
253,{'NDH1_2u'},0.70977120939506,optimal
254,{'LEUtex'},0.7097712093950647,optimal
255,{'MDDEP1pp'},0.7097712093950647,optimal
256,{'HMSH'},0.7097712093950647,optimal
257,{'5DKGR'},0.7097712093950647,optimal
258,{'G3PCabcpp'},0.7097712093950647,optimal
259,{'TRNFE'},4.3054262056245567e-16,optimal
260,{'SCYSDS'},0.7097712093950137,optimal
261,{'CYTBCYTC'},0.7097712093950309,optimal
262,{'ACLSa'},0.7097712093950309,optimal
263,{'MPTS'},0.7097712093950309,optimal
264,{'EX_3hbz_e'},0.7097712093950309,optimal
