compartment,formula,member_count,metabolite_ids,metabolite_id_name_pairs,new
p,C74H112N14O39,2,murein4px4p_p | murein5px3p_p,"murein4px4p_p:Two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain) | murein5px3p_p:Two disacharide linked murein units, pentapeptide corsslinked tripeptide (A2pm->A2pm) (middle of chain)",
p,C74H114N14O40,2,murein4p4p_p | murein5p3p_p,"murein4p4p_p:Two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain) | murein5p3p_p:Two linked disacharide pentapeptide and tripeptide murein units (uncrosslinked, middle of chain)",
p,C7H15NO3,2,crn__D_p | crn_p,crn__D_p:D-Carnitine | crn_p:L-Carnitine,
p,C8H15NO6,2,acgam_p | acmana_p,acgam_p:N-Acetyl-D-glucosamine | acmana_p:N-Acetyl-D-mannosamine,
p,C8H8O3,2,mand_p | vanln_p,mand_p:Mandelate | vanln_p:Vanillin,
p,C9H11N2O9P,2,3ump_p | ump_p,3ump_p:3  UMP C9H11N2O9P | ump_p:UMP C9H11N2O9P,
p,C9H12N3O8P,2,3cmp_p | cmp_p,3cmp_p:3  CMP C9H12N3O8P | cmp_p:CMP C9H12N3O8P,
p,CU,2,cu2_p | cu_p,cu2_p:Copper | cu_p:Cu+,
p,FE,2,fe2_p | fe3_p,fe2_p:Fe2+ mitochondria | fe3_p:Fe3+,
p,NONE,2,colipacy_p | icolipacy_p,colipacy_p:O-antigen bound to core oligosaccharide lipid A (Synechococcus elongatus 7942) | icolipacy_p:Inner core oligosaccharide lipid A (Synechococcus elongatus 7942),
p,R,6,ficytc6_p | focytc6_p | pcox_p | pcrd_p | ps2d1_exc_um_p | ps2d1_um_p,ficytc6_p:Ferricytochrome c6 | focytc6_p:Ferrocytochrome c6 | pcox_p:Plastocyanin(Cu2+) | pcrd_p:Plastocyanin(Cu+) | ps2d1_exc_um_p:Damaged PSII D1 protein | ps2d1_um_p:PSII D1 protein,
u,R,4,ficytc6_u | focytc6_u | pcox_u | pcrd_u,ficytc6_u:Ferricytochrome c6 | focytc6_u:Ferrocytochrome c6 | pcox_u:Plastocyanin(Cu2+) | pcrd_u:Plastocyanin(Cu+),
