compartment,formula,member_count,metabolite_ids,metabolite_id_name_pairs,new
c,C5H9O7P,2,2dr1p_c | dxyl5p_c,2dr1p_c:2-Deoxy-D-ribose 1-phosphate | dxyl5p_c:1-deoxy-D-xylulose 5-phosphate,
c,C5H9O7P2,2,dmpp_c | ipdp_c,dmpp_c:Dimethylallyl diphosphate | ipdp_c:Isopentenyl diphosphate,
c,C5H9O8P,5,ara5p_c | r5p_c | ru5p__D_c | ru5p__L_c | xu5p__D_c,ara5p_c:D-Arabinose 5-phosphate | r5p_c:Alpha-D-Ribose 5-phosphate | ru5p__D_c:D-Ribulose 5-phosphate | ru5p__L_c:L-Ribulose 5-phosphate | xu5p__D_c:D-Xylulose 5-phosphate,
c,C6H10O12P2,2,fdp_c | tagdp__D_c,"fdp_c:D-Fructose 1,6-bisphosphate | tagdp__D_c:D-Tagatose 1,6-biphosphate",
c,C6H11O4,2,23dhmp_c | pant__R_c,"23dhmp_c:(R)-2,3-Dihydroxy-3-methylpentanoate | pant__R_c:(R)-Pantoate",
c,C6H11O7,2,glcn_c | idon__L_c,glcn_c:D-Gluconate | idon__L_c:L-Idonate,
c,C6H11O7PS,2,5mdr1p_c | 5mdru1p_c,5mdr1p_c:5-Methylthio-5-deoxy-D-ribose 1-phosphate | 5mdru1p_c:5-Methylthio-5-deoxy-D-ribulose 1-phosphate,
c,C6H11O9P,12,all6p_c | allul6p_c | f1p_c | f6p_c | g1p_c | g6p_B_c | g6p_c | man1p_c | man6p_c | mi1p__D_c | mi3p__D_c | tag6p__D_c,all6p_c:D-Allose 6-phosphate | allul6p_c:Allulose 6-phosphate | f1p_c:D-Fructose 1-phosphate | f6p_c:D-Fructose 6-phosphate | g1p_c:D-Glucose 1-phosphate | g6p_B_c:Beta D glucose 6 phosphate C6H11O9P | g6p_c:D-Glucose 6-phosphate | man1p_c:D-Mannose 1-phosphate | man6p_c:D-Mannose 6-phosphate | mi1p__D_c:1D-myo-Inositol 1-phosphate | mi3p__D_c:1D-myo-Inositol 3-phosphate | tag6p__D_c:D-Tagatose 6-phosphate,
c,C6H12O6,6,all__D_c | fru_c | gal_c | glc__D_c | inost_c | man_c,all__D_c:D-Allose | fru_c:D-Fructose | gal_c:D-Galactose | glc__D_c:D-Glucose | inost_c:Myo-Inositol | man_c:D-Mannose,
c,C6H13NO2,2,ile__L_c | leu__L_c,ile__L_c:L-Isoleucine | leu__L_c:L-Leucine,
c,C6H13NO8P,3,g3ps_c | gam1p_c | gam6p_c,g3ps_c:Glycerophosphoserine | gam1p_c:D-Glucosamine 1-phosphate | gam6p_c:D-Glucosamine 6-phosphate,
c,C6H13NOR,2,iletrna_c | leutrna_c,iletrna_c:L-Isoleucyl-tRNA(Ile) | leutrna_c:L-Leucyl-tRNA(Leu),
c,C6H13O9P,3,galt1p_c | mnl1p_c | sbt6p_c,galt1p_c:Galactitol 1-phosphate | mnl1p_c:D-Mannitol 1-phosphate | sbt6p_c:D-Sorbitol 6-phosphate,
c,C6H15N2O2,2,36dahx_c | lys__L_c,"36dahx_c:(3S)-3,6-Diaminohexanoate | lys__L_c:L-Lysine",
c,C6H3O6,2,acon_C_c | acon_T_c,acon_C_c:Cis-Aconitate | acon_T_c:Trans-Aconitate,
c,C6H5O7,2,cit_c | icit_c,cit_c:Citrate | icit_c:Isocitrate,
c,C6H7O7,2,23doguln_c | 25dkglcn_c,"23doguln_c:2,3-Dioxo-L-gulonate | 25dkglcn_c:2,5-diketo-D-gluconate",
