mechanism,initial_formate_mM,final_biomass_gDW_L,final_formate_mM,final_co2_mM,formate_consumed_mM,carbon_conversion_efficiency_percent,co2_released_percent
Active,5,0.12697277744204608,0.0,2.7165998272416907,5.0,45.668003455166186,54.331996544833814
Active,10,0.23151643287135543,0.0,5.352375520903774,10.0,46.47624479096226,53.52375520903773
Active,20,0.4596917051849261,0.0,11.057765172738797,20.0,44.71117413630601,55.28882586369399
Active,50,1.1139362900026248,0.0,27.521006783015043,50.0,44.95798643396992,55.04201356603008
Diffusion,5,0.02000245819435691,4.999903848190112,5.15154814781668e-05,9.615180988831185e-05,46.42276464893773,53.57723535106227
Diffusion,10,0.0200042633798934,9.999807687654501,0.00010224332344238738,0.00019231234549899057,46.83475822776857,53.16524177223143
Diffusion,20,0.02000852766355137,19.999615334086528,0.0002045085629096604,0.00038466591347230406,46.834758228614135,53.165241771385865
Diffusion,50,0.020021325939017565,49.9990380259604,0.0005114358239219519,0.0009619740395976351,46.83475822945594,53.16524177054406
