light_inflection,formate_at_inflection
6.224489795918367,1.0
6.224489795918367,1.2244897959183674
7.530612244897958,1.4489795918367347
8.83673469387755,1.6734693877551021
10.142857142857142,1.8979591836734695
11.448979591836734,2.1224489795918364
12.755102040816325,2.3469387755102042
14.061224489795917,2.571428571428571
15.367346938775508,2.795918367346939
15.367346938775508,3.020408163265306
16.6734693877551,3.2448979591836733
17.97959183673469,3.4693877551020407
19.285714285714285,3.693877551020408
20.591836734693874,3.9183673469387754
21.897959183673468,4.142857142857142
23.20408163265306,4.36734693877551
24.51020408163265,4.591836734693878
24.51020408163265,4.816326530612245
25.816326530612244,5.040816326530612
27.122448979591834,5.26530612244898
28.428571428571427,5.489795918367347
29.734693877551017,5.714285714285714
31.04081632653061,5.938775510204081
32.3469387755102,6.163265306122449
33.6530612244898,6.387755102040816
33.6530612244898,6.612244897959184
34.95918367346938,6.836734693877551
36.265306122448976,7.061224489795919
37.57142857142857,7.285714285714286
38.87755102040816,7.510204081632653
40.18367346938775,7.73469387755102
41.48979591836734,7.959183673469388
42.795918367346935,8.183673469387756
42.795918367346935,8.408163265306122
44.10204081632653,8.63265306122449
45.40816326530612,8.857142857142858
46.71428571428571,9.081632653061224
48.0204081632653,9.306122448979592
49.326530612244895,9.53061224489796
50.63265306122449,9.755102040816327
51.938775510204074,9.979591836734693
51.938775510204074,10.204081632653061
53.24489795918367,10.428571428571429
54.55102040816326,10.653061224489797
55.857142857142854,10.877551020408163
57.16326530612245,11.10204081632653
58.469387755102034,11.326530612244898
59.77551020408163,11.551020408163266
61.08163265306122,11.775510204081632
61.08163265306122,12.0
