reaction_id,0.01,0.05,0.1,0.2,0.5,1,2
EX_for_e,0.000684526,0.00341948,0.00683896,0.0136779,0.0341948,0.316104,1
FDH,0.000684545,0.00341952,0.00683903,0.0136781,0.0341952,0.316104,1
RBPCcx,0.132285,0.660817,1,0.887992,0.551969,0.442712,0.442712
RPE,0.168929,0.193494,0.224207,0.285633,0.46991,1,1
FBA,0.87639,0.926664,0.962094,0.965554,0.975934,1,1
FBA3,1,1,1,1,1,1,1
PGK,1,1,1,1,1,1,1
GAPD,1,1,1,1,1,1,1
TKT1,0.168929,0.193498,0.224218,0.285633,0.469914,1,1
TKT2,0.149228,0.170932,0.19807,0.252322,0.415111,1,1
TALA,0.819667,0.833602,0.559992,0.885859,0.699344,1,1
SBP,1,1,0.597938,1,0.597938,0.597938,0.597938
FBP,1,1,1,1,1,1,1
TPI,0.875636,0.925855,0.96136,0.965325,0.977219,1,1
PGM,1,1,1,1,1,1,1
ENO,1,1,1,1,1,1,1
PYK,0,1,0,0,0,0,0
CS,0.167755,0.175106,0.184292,0.202669,0.257802,1,1
ACONT,0.167755,0.175103,0.184292,0.202669,0.257802,1,1
ICDHyr,0.250375,0.261341,0.275073,0.302484,0.384769,1,1
AKGDH,0.779832,0.813991,0.856707,0.942137,1,1,1
SUCOAS,0.233679,0.24865,0.267359,0.304786,0.060528,0.0723364,1
SUCDi,0.00199224,0.00995202,0.0199042,0.0398081,0.0995202,0.919984,1
FUM,0.167755,0.175106,0.184292,0.202669,0.257802,1,1
MDH,0.167755,0.175106,0.184292,0.202669,0.257802,1,1
ME2,1,1,1,1,1,1,1
