,0.01-0.05x,0.05-0.1x,0.1-0.2x,0.2-0.5x,0.5-1x,1-2x
ForT transport,0.19818995691216815,0.5731990272219221,1.1396148670188624,1.689151001775921,0.011709576731776871,0.0
FDH,0.9765587323749004,1.6449285045087787,0.0,0.02102470260356467,0.027978493202748048,0.0
CBB,1.6553289606350299,0.048396080394677486,0.0,0.006059431180866001,0.016533181661317464,0.0
TCA,0.9637004494984873,0.0,0.0,0.05042723817848205,0.0,0.0
Cyclic electron flow,0.45081412238520113,0.0,0.0,0.0,0.0,0.0
Photon uptake,0.014132423048335405,0.10112668120625624,0.26810868521408404,0.6540078846818006,0.0,0.00013789462094940748
