module,module_scale,fort_background,final_biomass_gDW_L,delta_biomass_gDW_L,final_formate_mM,final_co2_mM,cumulative_biomass_production_gDW_L,cumulative_formate_consumed_mM_gDW_h_proxy,cumulative_fdh_flux_mM_gDW_h_proxy,cumulative_rubisco_total_flux_mM_gDW_h_proxy,cumulative_rbpcx_flux_mM_gDW_h_proxy,cumulative_cs_flux_mM_gDW_h_proxy,cumulative_icdhyr_flux_mM_gDW_h_proxy,external_co2_uptake_blocked,scaled_reactions,baseline_final_biomass_gDW_L,baseline_cumulative_rubisco_total,baseline_cumulative_rbpcx,baseline_cumulative_cs,baseline_cumulative_icdhyr,relative_final_biomass,relative_cumulative_rubisco_total_flux,relative_cumulative_rbpcx_flux,relative_cumulative_cs_flux,relative_cumulative_icdhyr_flux
ForT transport,0.01,1.0,0.021664275207372585,0.0016642752073725842,19.92489860823223,0.03992821951882611,0.0016642752073726082,0.07504197935595333,0.07457301323818324,0.03533301042820979,0.03533301042820979,0.0008623884552462897,0.0008623884552462897,True,,0.4630064662571311,9.408640222813757,9.408640222813757,0.22966860785408655,0.22966860785408663,0.04679043768546703,0.0037553790549388305,0.0037553790549388305,0.003754925252101427,0.0037549252521014258
ForT transport,0.05,1.0,0.029803893239820814,0.009803893239820814,19.556059677619192,0.2360195780115733,0.009803893239820822,0.44219040734943005,0.4394229088814605,0.20819753459324394,0.20819753459324394,0.00508213598242166,0.005082135982421661,True,,0.4630064662571311,9.408640222813757,9.408640222813757,0.22966860785408655,0.22966860785408663,0.06437036070090044,0.02212833413359919,0.02212833413359919,0.022128126390048273,0.022128126390048266
ForT transport,0.1,1.0,0.04434279865353028,0.02434279865353028,18.893341401857022,0.588353076225725,0.0243427986535303,1.0979687518728778,1.0910971289031264,0.5169584497798898,0.5169584497798898,0.012618804583413792,0.012618804583413813,True,,0.4630064662571311,9.408640222813757,9.408640222813757,0.22966860785408655,0.22966860785408663,0.09577144572513263,0.05494507575349584,0.05494507575349584,0.05494353234130627,0.05494353234130634
ForT transport,0.2,1.0,0.09769702929862584,0.07769702929862583,16.440048878878972,1.8926416844720169,0.07769702929862582,3.5044824343100025,3.4825496771603763,1.6500212810532715,1.6500212810532715,0.040276536949828946,0.040276536949828946,True,,0.4630064662571311,9.408640222813757,9.408640222813757,0.22966860785408655,0.22966860785408663,0.21100575568283683,0.17537298078975908,0.17537298078975908,0.1753680545467385,0.17536805454673846
ForT transport,0.5,1.0,0.4592637022929945,0.4392637022929945,0.0,10.947787777600107,0.4392637022929944,19.81426355682129,19.690267960677843,9.32915081970167,9.32915081970167,0.22772824026434682,0.22772824026434682,True,,0.4630064662571311,9.408640222813757,9.408640222813757,0.22966860785408655,0.22966860785408663,0.9919163894310322,0.9915514461994898,0.9915514461994898,0.9915514461995063,0.991551446199506
ForT transport,1.0,1.0,0.4630064662571311,0.4430064662571311,0.0,11.126472321124632,0.4430064662571311,19.983091782849225,19.85803967726384,9.408640222813757,9.408640222813757,0.22966860785408655,0.22966860785408663,True,,0.4630064662571311,9.408640222813757,9.408640222813757,0.22966860785408655,0.22966860785408663,1.0,1.0,1.0,1.0,1.0
ForT transport,2.0,1.0,0.4588476076991008,0.4388476076991008,0.0,11.038167358605126,0.4388476076991008,19.81452115087329,19.690643010137446,10.271651126131497,10.271651126131497,0.22751252362498975,0.22751252362498975,True,,0.4630064662571311,9.408640222813757,9.408640222813757,0.22966860785408655,0.22966860785408663,0.9910177095545775,1.0917253591252367,1.0917253591252367,0.9906121944603478,0.9906121944603474
FDH,0.01,1.0,0.02976978247504684,0.00976978247504684,19.55756666499602,0.23522075222832795,0.009769782475046835,0.4406943798062155,0.43793656030994993,0.2074921595151444,0.2074921595151444,0.00506496521154365,0.005064965211543651,True,FDH,0.4630064662571311,9.408640222813824,9.408640222813824,0.22966860785408647,0.22966860785408647,0.0642966883717649,0.022053363142956924,0.022053363142956924,0.022053363142957413,0.022053363142957416
FDH,0.05,1.0,0.14333786212664817,0.12333786212664817,14.327052871940891,3.016036056147485,0.12333786212664821,5.563512063380882,5.528696184760284,2.619468696258538,2.619468696258538,0.06394226100050865,0.06394226100050865,True,FDH,0.4630064662571311,9.408640222813824,9.408640222813824,0.22966860785408647,0.22966860785408647,0.30958069178896813,0.2784109748300205,0.2784109748300205,0.278410974830015,0.278410974830015
FDH,0.1,1.0,0.4482638773133419,0.42826387731334187,0.0,10.655329922795884,0.428263877313342,19.3180839473005,19.197193387718592,9.095534547267563,9.095534547267563,0.22202558199152506,0.22202558199152506,True,FDH,0.4630064662571311,9.408640222813824,9.408640222813824,0.22966860785408647,0.22966860785408647,0.9681589998883473,0.966721474290509,0.966721474290509,0.9667215039357178,0.9667215039357178
