reaction_id,pathway,enzyme_name,ec_number,dsm123_locus_tags,pgidnb_rnaseq_locus_tags,kinetic_record_status,kinetic_reference_accession,kinetic_reference_organism_strain,kinetic_reference_note,kcat_s_inv,km_mM_by_substrate,substrate_pool_mM_used_for_MM,rnaseq_6h_median_expression,rnaseq_allocation_fraction,enzyme_umol_per_gDW,vmax_mmol_gDW_h,mm_bound_formula
SBP,CBB,Sedoheptulose-bisphosphatase,3.1.3.37,ACXYSJ_13375,PGIDNB_13255,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=3.1.3.37&r=729720,Synechocystis sp.,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,4.2,s17bp_c: 0.024 mM,s17bp_c: 0.1 mM,695.8648361333334,0.002962038356955525,0.04121377267489561,0.6231522428444217,direction-specific Vmax * min(S_i / (Km_i + S_i))
FBP,CBB,Fructose-bisphosphatase,3.1.3.11,ACXYSJ_13375,PGIDNB_13255,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=3.1.3.11&r=729720,Synechocystis sp.,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,10.5,fdp_c: 0.08 mM,fdp_c: 0.1 mM,695.8648361333334,0.002962038356955525,0.04121377267489561,1.557880607111054,direction-specific Vmax * min(S_i / (Km_i + S_i))
TPI,CBB,Triose-phosphate isomerase,5.3.1.1,ACXYSJ_11435,PGIDNB_11355,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=5.3.1.1&r=682773,Helicobacter pylori,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,1470.0,g3p_c: 3.46 mM,g3p_c: 0.1 mM,525.3306872666667,0.0022361377741345195,0.04027884531844843,213.1556494252291,direction-specific Vmax * min(S_i / (Km_i + S_i))
PRUK,CBB,Phosphoribulokinase,2.7.1.19,ACXYSJ_21480,PGIDNB_21320,not applied: kcat missing in normalized CSV,NA,NA,kcat and Km are loaded from the normalized kinetic parameter CSV.,,NA: real kinetic record not verified,not used for MM bound,4248.977882333334,0.018086321957667486,0.28883873117024744,,not applied
PGM,CBB,Phosphoglycerate mutase,5.4.2.12,ACXYSJ_20105,PGIDNB_19955,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=5.4.2.12&r=734842,Saccharolobus solfataricus DSM 1617,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,1.51,2pg_c: 0.26 mM; 3pg_c: 0.04 mM,2pg_c: 0.1 mM; 3pg_c: 0.1 mM,35.93429608333333,0.00015295896243366935,0.003608335099035153,0.026499612967314165,direction-specific Vmax * min(S_i / (Km_i + S_i))
ENO,CBB,Enolase,4.2.1.11,ACXYSJ_11485,PGIDNB_11405,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=4.2.1.11&r=734842,Saccharolobus solfataricus DSM 1617,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,31.4,2pg_c: 0.06 mM; pep_c: 0.538 mM,2pg_c: 0.1 mM; pep_c: 0.1 mM,2549.4641723333334,0.010852122820426946,0.11810954195874503,21.259717552574106,direction-specific Vmax * min(S_i / (Km_i + S_i))
PYK,CBB,Pyruvate kinase,2.7.1.40,ACXYSJ_14365;ACXYSJ_19660,PGIDNB_14225;PGIDNB_19530,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=2.7.1.40&r=760784,Corynebacterium glutamicum (including ATCC 13032),Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,5.58,pep_c: 4.58 mM; adp_c: 0.07 mM,pep_c: 0.1 mM; adp_c: 0.5 mM,834.752199165,0.0035532303172823975,0.01704110458949959,0.3423217089938677,direction-specific Vmax * min(S_i / (Km_i + S_i))
CS,TCA,Citrate synthase,2.3.3.1,ACXYSJ_11345,PGIDNB_11270,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=2.3.3.1&r=778981,Cyanidioschyzon merolae NIES-3377,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,123.4,accoa_c: 0.0478 mM; oaa_c: 0.0077 mM,accoa_c: 0.2 mM; oaa_c: 0.05 mM,23740.21043333333,0.10105326531006849,1.0820785342795771,480.70256806835937,direction-specific Vmax * min(S_i / (Km_i + S_i))
ACONT,TCA,Aconitate hydratase,4.2.1.3,ACXYSJ_24245;ACXYSJ_24275,PGIDNB_24115;PGIDNB_24145,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=4.2.1.3&r=775849,Cyanidioschyzon merolae NIES-3377,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,7.28,cit_c: 0.68 mM; icit_c: 0.36 mM,cit_c: 0.2 mM; icit_c: 0.1 mM,2275.1580708333336,0.00968450354725785,0.06707381402734336,1.757870518028615,direction-specific Vmax * min(S_i / (Km_i + S_i))
ICDHyr,TCA,Isocitrate dehydrogenase (NADP),1.1.1.42,ACXYSJ_24345,PGIDNB_24220,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=1.1.1.42&r=761403,Escherichia coli,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,51.8,icit_c: 0.0242 mM; nadp_c: 0.0121 mM,icit_c: 0.1 mM; nadp_c: 0.5 mM,6914.776643,0.029433637946352093,0.7050832107860914,131.48391714739031,direction-specific Vmax * min(S_i / (Km_i + S_i))
AKGDH,TCA,2-oxoglutarate dehydrogenase complex,1.2.4.2,ACXYSJ_11530;ACXYSJ_24015;ACXYSJ_24040,PGIDNB_11455;PGIDNB_23875;PGIDNB_23900,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=1.2.4.2&r=762591,Escherichia coli,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,0.152,akg_c: 0.006 mM,akg_c: 0.2 mM,3110.3148566666664,0.013239456039836494,0.04481235468161568,0.024521320481780098,direction-specific Vmax * min(S_i / (Km_i + S_i))
SUCOAS,TCA,Succinate-CoA ligase,6.2.1.5,ACXYSJ_24075;ACXYSJ_24090,PGIDNB_23935;PGIDNB_23950,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=6.2.1.5&r=726747,Advenella mimigardefordensis DPN7; Alcanivorax borkumensis SK2; Escherichia coli K-12,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,14.3,succ_c: 0.141 mM; atp_c: 0.055 mM; coa_c: 0.058 mM,succ_c: 0.2 mM; atp_c: 2 mM; coa_c: 0.1 mM,2987.767265,0.012717816422168505,0.08528594719942988,4.39052056182665,direction-specific Vmax * min(S_i / (Km_i + S_i))
SUCDi,TCA,Succinate dehydrogenase,1.3.5.1,ACXYSJ_12470;ACXYSJ_24370;ACXYSJ_24375;ACXYSJ_24385,PGIDNB_12385;PGIDNB_24245;PGIDNB_24250;PGIDNB_24260,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=1.3.5.1&r=674532,Escherichia coli,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,30.0,succ_c: 0.55 mM; fum_c: 0.02 mM,succ_c: 0.2 mM; fum_c: 0.2 mM,983.79652345,0.004187656692197106,0.031137892378925967,28.024103141033372,direction-specific Vmax * min(S_i / (Km_i + S_i))
FUM,TCA,Fumarase,4.2.1.2,ACXYSJ_17280,PGIDNB_17160,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=4.2.1.2&r=749072,Escherichia coli (including K-12 and O157:H7 strains),Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,52.0,fum_c: 0.094 mM; mal__L_c: 0.2 mM,fum_c: 0.2 mM; mal__L_c: 0.2 mM,2320.387197666667,0.009877027154681906,0.0833053337976141,15.594758486913358,direction-specific Vmax * min(S_i / (Km_i + S_i))
MDH,TCA,Malate dehydrogenase,1.1.1.37,ACXYSJ_24095,PGIDNB_23955,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=1.1.1.37&r=761185,Synechocystis sp. PCC 6803,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,0.71,oaa_c: 0.012 mM; nadh_c: 0.03 mM; nad_c: 0.58 mM; mal__L_c: 2.6 mM,oaa_c: 0.05 mM; nadh_c: 0.1 mM; nad_c: 1 mM; mal__L_c: 0.2 mM,1386.423314333333,0.00590148951749284,0.08517338908363466,0.21770318249777018,direction-specific Vmax * min(S_i / (Km_i + S_i))
ME2,TCA,NADP-dependent malic enzyme,1.1.1.40,ACXYSJ_10825,PGIDNB_10740,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=1.1.1.40&r=760547,Methylosinus trichosporium,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,0.3,mal__L_c: 2.7 mM; nadp_c: 0.064 mM; nadph_c: 0.047 mM; pyr_c: 6 mM,mal__L_c: 0.2 mM; nadp_c: 0.5 mM; nadph_c: 0.1 mM; pyr_c: 0.1 mM,1515.6077670000002,0.006451379789355427,0.038987413977048045,0.04210640709521189,direction-specific Vmax * min(S_i / (Km_i + S_i))
