reaction_id,vmax_multiplier,vmax_label,quantity,feasible_minimum,feasible_maximum,growth_optimal_value,fva_width
CS,0.1,Vmax 0.1x,flux,0.00184632,0.0223445,0.00205147,0.0204982
ACONT,0.1,Vmax 0.1x,flux,0.00184632,0.0223445,0.00205147,0.0204982
ICDHyr,0.1,Vmax 0.1x,flux,0.00184632,0.0222433,0.00205147,0.020397
AKGDH,0.1,Vmax 0.1x,flux,0,0.0203957,0,0.0203957
SUCOAS,0.1,Vmax 0.1x,flux,-0.0203839,0.000966732,1.30622e-05,0.0213507
SUCDi,0.1,Vmax 0.1x,flux,0,0.0178495,0,0.0178495
FUM,0.1,Vmax 0.1x,flux,-0.00204407,0.0184541,0.00100103,0.0204982
MDH,0.1,Vmax 0.1x,flux,-0.00494796,0.0155502,0.00100103,0.0204982
ME2,0.1,Vmax 0.1x,flux,0,0.00290389,0,0.00290389
BIOMASS__1,0.2,Vmax 0.2x,flux,0.00712269,0.0079141,0.0079141,0.00079141
EX_for_e,0.2,Vmax 0.2x,positive uptake,0.321289,0.356987,0.356987,0.0356987
FDH,0.2,Vmax 0.2x,flux,0.319278,0.354977,0.354753,0.0356991
RBPCcx,0.2,Vmax 0.2x,flux,0.151272,0.750913,0.16808,0.59964
RPE,0.2,Vmax 0.2x,flux,-0.166804,-0.102363,-0.113736,0.0644408
FBA,0.2,Vmax 0.2x,flux,-0.865489,6.7297,0,7.59518
FBA3,0.2,Vmax 0.2x,flux,-0.0860814,0.0578823,0,0.143964
PGK,0.2,Vmax 0.2x,flux,0,10.7379,0,10.7379
GAPD,0.2,Vmax 0.2x,flux,0,5.81745,0,5.81745
TKT1,0.2,Vmax 0.2x,flux,-0.0827418,-0.0505214,-0.0561349,0.0322204
TKT2,0.2,Vmax 0.2x,flux,-0.0840618,-0.0518414,-0.0576016,0.0322204
TALA,0.2,Vmax 0.2x,flux,-0.140624,0.03556,-0.0561349,0.176184
SBP,0.2,Vmax 0.2x,flux,-0.0578823,0.0860814,0,0.143964
FBP,0.2,Vmax 0.2x,flux,0,0.865489,0,0.865489
TPI,0.2,Vmax 0.2x,flux,-0.765535,6.85492,0.0596385,7.62046
PGM,0.2,Vmax 0.2x,flux,-0.0140106,0.007361,-0.0140106,0.0213717
ENO,0.2,Vmax 0.2x,flux,-0.007361,0.0140106,0.0140106,0.0213717
PYK,0.2,Vmax 0.2x,flux,0,0,0,0
CS,0.2,Vmax 0.2x,flux,0.00369263,0.0262349,0.00410292,0.0225423
ACONT,0.2,Vmax 0.2x,flux,0.00369263,0.0262349,0.00410292,0.0225423
ICDHyr,0.2,Vmax 0.2x,flux,0.00369263,0.0261222,0.00410292,0.0224295
AKGDH,0.2,Vmax 0.2x,flux,0,0.0224295,0,0.0224295
SUCOAS,0.2,Vmax 0.2x,flux,-0.022406,0.00193345,2.61244e-05,0.0243395
SUCDi,0.2,Vmax 0.2x,flux,0,0.0356987,0,0.0356987
FUM,0.2,Vmax 0.2x,flux,-0.00408814,0.0184541,0.00200206,0.0225423
MDH,0.2,Vmax 0.2x,flux,-0.00699203,0.0155502,0.00200206,0.0225423
ME2,0.2,Vmax 0.2x,flux,0,0.00290389,0,0.00290389
