Time_h,Time_d,Active_Biomass_gDW_L,Active_Formate_mM,Diffusion_Biomass_gDW_L,Diffusion_Formate_mM
0.0,0.0,0.02,20.0,0.02,20.0
1.0,0.041666666666666664,0.020301962898964264,19.986303809508392,0.02000002390859893,19.99999893170108
2.0,0.08333333333333333,0.02060848240938228,19.97240094556156,0.020000047817225166,19.99999786340094
3.0,0.125,0.020919627211825883,19.958288293079427,0.020000071725878706,19.99999679509958
4.0,0.16666666666666666,0.02123546701951317,19.94396269014687,0.020000095634559546,19.999995726797
5.0,0.20833333333333334,0.02155607259374882,19.929420927313497,0.02000011954326769,19.9999946584932
6.0,0.25,0.021881515759592286,19.914659746883096,0.02000014345200314,19.99999359018818
7.0,0.2916666666666667,0.022211869421757027,19.899675842192586,0.020000167360765896,19.99999252188194
8.0,0.3333333333333333,0.022547207580744175,19.88446585688036,0.020000191269555954,19.99999145357448
9.0,0.375,0.02288760534921385,19.869026384143847,0.020000215178373318,19.9999903852658
10.0,0.4166666666666667,0.02323313896859762,19.85335396598612,0.020000239087217986,19.9999893169559
11.0,0.4583333333333333,0.023583885825955372,19.837445092451464,0.02000026299608996,19.99998824864478
12.0,0.5,0.02393992447108026,19.82129620084966,0.020000286904989235,19.99998718033244
13.0,0.5416666666666666,0.024301334633855,19.80490367496888,0.020000310813915814,19.999986112018878
14.0,0.5833333333333334,0.024668197241863248,19.788263844277044,0.020000334722869696,19.999985043704097
15.0,0.625,0.025040594438259553,19.771372983111412,0.020000358631850883,19.999983975388098
16.0,0.6666666666666666,0.02541860959990153,19.754227309856315,0.020000382540859375,19.999982907070876
17.0,0.7083333333333334,0.025802327355747983,19.736822986108823,0.02000040644989517,19.999981838752436
18.0,0.75,0.02619183360552659,19.71915611583219,0.020000430358958272,19.999980770432774
19.0,0.7916666666666666,0.02658721553867511,19.7012227444969,0.020000454268048678,19.999979702111894
20.0,0.8333333333333334,0.02698856165355966,19.683018858209138,0.020000478177166388,19.999978633789794
21.0,0.875,0.02739596177697417,19.66454038282655,0.020000502086311402,19.999977565466473
