reaction_id,0.01,0.05,0.1,0.2,0.5,1
EX_for_e,0.0264598,0.132299,0.264598,0.529197,1,1
FDH,0.0264598,0.132299,0.264598,0.529197,1,1
RBPCcx,0.0264598,0.132299,0.264598,0.529197,1,1
RPE,0.0264598,0.132299,0.264598,0.529197,1,1
FBA,0.000150381,0.00276675,0.704623,0,1,0.0265961
FBA3,0.00377754,0.0188877,1,0.242163,0.142765,0.305925
PGK,0,0,0,0,0,0
GAPD,0,0,1,0,1,0
TKT1,0.0264598,0.132299,0.264598,0.529197,1,1
TKT2,0.0264599,0.132299,0.264598,0.529197,1,1
TALA,0,0,1,0.306149,0,0.157221
SBP,0.00377754,0.0188877,1,0.242163,0.142765,0.305925
FBP,0.0039939,0,1,0.3738,0,0
CS,0.026458,0.132291,0.264581,0.529197,0.999998,1
ACONT,0.026458,0.132291,0.264581,0.529197,0.999998,1
ICDHyr,0.026458,0.132291,0.264581,0.529197,0.999998,1
AKGDH,0,0,0,0,0,0
AKGDa,0,0,0,0,0,0
AKGDb,0,0,0,0,0,0
SUCOAS,0.0264602,0.132302,0.264602,0,1,0
SUCDi,0,0,0,0,0,0
FUM,0.0264601,0.132301,0.264602,0.529197,0.999998,1
MDH,0.0264601,0.132301,0.264602,0.529197,0.999998,1
ME2,0,0,0,0,0,0
