reaction_id,vmax_multiplier,vmax_label,quantity,feasible_minimum,feasible_maximum,growth_optimal_value,fva_width
MDH,0.1,Vmax 0.1x,flux,-1.06977,13.6702,0.00100104,14.74
ME2,0.1,Vmax 0.1x,flux,0,1.06773,0,1.06773
BIOMASS__1,0.2,Vmax 0.2x,flux,0.00712268,0.00791409,0.00791409,0.000791409
EX_for_e,0.2,Vmax 0.2x,positive uptake,0.321289,0.356987,0.356987,0.0356987
FDH,0.2,Vmax 0.2x,flux,0.319278,0.354977,0.354753,0.0356991
RBPCcx,0.2,Vmax 0.2x,flux,0.151272,1.93621,0.16808,1.78494
RPE,0.2,Vmax 0.2x,flux,-1.29232,-0.102363,-0.113736,1.18996
FBA,0.2,Vmax 0.2x,flux,-1.24388,22.2264,0,23.4703
FBA3,0.2,Vmax 0.2x,flux,-0.743009,0.743009,0.179929,1.48602
PGK,0.2,Vmax 0.2x,flux,0,10.5946,0,10.5946
GAPD,0.2,Vmax 0.2x,flux,0,15.683,0,15.683
TKT1,0.2,Vmax 0.2x,flux,-0.645576,-0.0505214,-0.0561349,0.595055
TKT2,0.2,Vmax 0.2x,flux,-0.646896,-0.0518414,-0.0576016,0.595055
TALA,0.2,Vmax 0.2x,flux,-0.645576,0.692487,-0.236064,1.33806
SBP,0.2,Vmax 0.2x,flux,-0.743009,0.743009,-0.179929,1.48602
FBP,0.2,Vmax 0.2x,flux,0,1.24388,0.300218,1.24388
CS,0.2,Vmax 0.2x,flux,0.00369233,0.629801,0.00410292,0.626108
ACONT,0.2,Vmax 0.2x,flux,0.00369233,0.629801,0.00410292,0.626108
ICDHyr,0.2,Vmax 0.2x,flux,0.00369233,0.629801,0.00410292,0.626108
AKGDH,0.2,Vmax 0.2x,flux,0,0.626108,0,0.626108
AKGDa,0.2,Vmax 0.2x,flux,0,0.626108,0,0.626108
AKGDb,0.2,Vmax 0.2x,flux,0,0.626108,0,0.626108
SUCOAS,0.2,Vmax 0.2x,flux,-0.942125,0.00193345,0,0.944059
SUCDi,0.2,Vmax 0.2x,flux,0,0.0356987,0,0.0356987
FUM,0.2,Vmax 0.2x,flux,-0.00408898,13.4942,0.00200206,13.4983
MDH,0.2,Vmax 0.2x,flux,-1.07182,13.4942,0.00200206,14.5661
ME2,0.2,Vmax 0.2x,flux,0,1.06773,0,1.06773
BIOMASS__1,0.5,Vmax 0.5x,flux,0.0134594,0.0149549,0.0149549,0.00149549
EX_for_e,0.5,Vmax 0.5x,positive uptake,0.607125,0.892468,0.674584,0.285343
FDH,0.5,Vmax 0.5x,flux,0.603326,0.670362,0.670362,0.0670362
RBPCcx,0.5,Vmax 0.5x,flux,0.285853,2.31756,0.317614,2.03171
RPE,0.5,Vmax 0.5x,flux,-1.54931,-0.19343,-0.214923,1.35588
FBA,0.5,Vmax 0.5x,flux,-1.24388,22.0653,21.3305,23.3092
FBA3,0.5,Vmax 0.5x,flux,-0.743009,0.743009,-0.106076,1.48602
PGK,0.5,Vmax 0.5x,flux,0,10.5946,0,10.5946
GAPD,0.5,Vmax 0.5x,flux,0,15.683,15.683,15.683
TKT1,0.5,Vmax 0.5x,flux,-0.773407,-0.0954679,-0.106076,0.677939
TKT2,0.5,Vmax 0.5x,flux,-0.776456,-0.0979623,-0.108847,0.678494
TALA,0.5,Vmax 0.5x,flux,-1.51642,0.647541,0,2.16396
SBP,0.5,Vmax 0.5x,flux,-0.743009,0.743009,0.106076,1.48602
FBP,0.5,Vmax 0.5x,flux,0,1.24388,0,1.24388
CS,0.5,Vmax 0.5x,flux,0.00697778,0.629801,0.00775309,0.622823
ACONT,0.5,Vmax 0.5x,flux,0.00697778,0.629801,0.00775309,0.622823
ICDHyr,0.5,Vmax 0.5x,flux,0.00697778,0.629801,0.00775309,0.622823
AKGDH,0.5,Vmax 0.5x,flux,0,0.622823,0,0.622823
AKGDa,0.5,Vmax 0.5x,flux,0,0.622823,0,0.622823
AKGDb,0.5,Vmax 0.5x,flux,0,0.622823,0,0.622823
SUCOAS,0.5,Vmax 0.5x,flux,0,0.00365355,4.9366e-05,0.00365355
SUCDi,0.5,Vmax 0.5x,flux,0,0.0670362,0,0.0670362
FUM,0.5,Vmax 0.5x,flux,-0.00765574,13.1808,0.00378319,13.1885
MDH,0.5,Vmax 0.5x,flux,-1.07539,13.1808,0.00378319,14.2562
ME2,0.5,Vmax 0.5x,flux,0,1.06773,0,1.06773
BIOMASS__1,1,Vmax 1x,flux,0.0134594,0.0149549,0.0149549,0.00149546
EX_for_e,1,Vmax 1x,positive uptake,0.607126,1.78494,0.674584,1.17781
FDH,1,Vmax 1x,flux,0.603326,0.670362,0.670362,0.0670362
RBPCcx,1,Vmax 1x,flux,0.285853,2.31756,0.317614,2.03171
RPE,1,Vmax 1x,flux,-1.54931,-0.193431,-0.214923,1.35588
FBA,1,Vmax 1x,flux,-1.24388,22.0653,0.56731,23.3092
FBA3,1,Vmax 1x,flux,-0.743009,0.743009,-0.227305,1.48602
PGK,1,Vmax 1x,flux,0,10.5946,0,10.5946
GAPD,1,Vmax 1x,flux,0,15.683,0,15.683
TKT1,1,Vmax 1x,flux,-0.773407,-0.0954681,-0.106076,0.677939
TKT2,1,Vmax 1x,flux,-0.776456,-0.0979627,-0.108847,0.678493
TALA,1,Vmax 1x,flux,-0.773407,0.64754,0.121229,1.42095
SBP,1,Vmax 1x,flux,-0.743009,0.743009,0.227305,1.48602
FBP,1,Vmax 1x,flux,0,1.24388,0,1.24388
CS,1,Vmax 1x,flux,0.00697779,0.629801,0.0077531,0.622823
ACONT,1,Vmax 1x,flux,0.00697779,0.629801,0.0077531,0.622823
ICDHyr,1,Vmax 1x,flux,0.00697779,0.629801,0.0077531,0.622823
AKGDH,1,Vmax 1x,flux,0,0.622823,0,0.622823
AKGDa,1,Vmax 1x,flux,0,0.622823,0,0.622823
AKGDb,1,Vmax 1x,flux,0,0.622823,0,0.622823
SUCOAS,1,Vmax 1x,flux,0,0.00365355,0,0.00365355
SUCDi,1,Vmax 1x,flux,0,0.067035,0,0.067035
FUM,1,Vmax 1x,flux,-0.00765534,13.1808,0.0037832,13.1885
MDH,1,Vmax 1x,flux,-1.07539,13.1808,0.0037832,14.2562
ME2,1,Vmax 1x,flux,0,1.06773,0,1.06773
